sep=,ACCELEROMETER X (m/s²),-0.804,-0.735,-2.088,-2.304,-2.235,-2.51,-1.431,0.215,-0.617,-0.068,0.088,0.049,-0.019,-0.019,-1.117,-1.559,-2.059,-1.726,0.431,0.284,1.039,0.863,1.147,0.029,-0.186,-0.48,-1.353,-0.843,-1.039,-0.98,-0.284,-0.068,0.676,0.745,1.294,2.039,1.608,0.912,0.343,-0.137,-0.598,-1.323,-1.578,-2.255,-1.549,-0.98,0.039,0.294,1.294,1.569,0.912,0.362,-0.696,-0.882,-0.166,0.451,0.813,0.392,1.971,0.912
FIELD2,ACCELEROMETER Y (m/s²),1.676,1.225,1.323,1.529,2.039,2.52,0.99,2.569,1.775,2.647,3.108,2.569,1.372,2.118,1.873,2.039,1.99,2.157,1.941,1.981,2.471,3.049,3.304,2.471,1.392,1.196,1.892,2.667,3.167,3.059,2.118,2.481,3.059,3.481,3.834,4.521,3.442,2.559,2.667,2.844,3.304,3.922,4.521,3.383,3.295,2.785,3.108,3.353,4.118,4.226,3.255,2.549,2.716,2.981,3.805,4.246,4.825,4.02,4.138,3.334
FIELD3,ACCELEROMETER Z (m/s²),10.189,8.581,8.649,9.561,9.022,10.464,11.121,7.512,8.924,8.532,8.777,13.553,9.1,7.492,9.807,8.11,9.914,10.768,8.973,9.797,7.571,7.708,9.64,11.111,10.365,8.483,8.522,8.002,9.424,10.179,9.777,9.336,8.375,8.208,8.08,9.522,12.052,8.59,8.698,8.63,8.63,8.983,9.218,9.404,9.208,8.404,8.384,8.581,8.247,11.395,10.081,8.159,8.885,7.963,7.816,8.434,9.346,9.865,7.561,8.581
FIELD4,GRAVITY X (m/s²),-0.3837,-0.5082,-0.8975,-1.6936,-2.082,-2.082,-1.9465,-1.2435,-0.7994,-0.4714,-0.1673,0.2035,-0.0275,-0.0362,-0.3804,-1.0109,-1.459,-1.1289,-0.7347,0.0374,0.4899,0.8463,1.0361,0.6102,0.3669,-0.0979,-0.8535,-1.0861,-1.0576,-1.2513,-0.9852,-0.3911,0.146,0.5136,0.885,1.4868,1.5622,1.2581,1.0944,0.6494,0.0419,-0.6793,-1.3835,-1.5667,-1.4877,-1.4754,-0.8428,-0.2185,0.4357,0.9834,1.0065,0.7006,0.2391,-0.4734,-0.6937,-0.0159,0.5013,0.5396,0.5656,1.0268
FIELD5,GRAVITY Y (m/s²),2.6028,1.8782,1.5401,1.7035,1.8133,2.1404,2.3559,2.0868,2.4822,2.6022,2.8413,2.941,1.9707,1.8926,2.2867,1.9552,2.1198,2.0671,1.6298,1.8944,2.1186,2.8248,3.2749,2.6962,2.1443,1.4431,1.7516,2.3032,2.8248,2.8581,2.3197,2.2682,2.8293,3.1675,3.6847,4.0926,3.7197,3.1831,2.9416,2.9981,3.184,3.4126,3.7825,3.5054,3.3593,3.0816,3.198,3.3797,3.8277,4.0543,3.4961,3.0607,2.7943,2.9122,3.4225,4.1425,4.3119,4.2901,4.03,3.9537
FIELD6,GRAVITY Z (m/s²),9.4469,9.6115,9.6432,9.5073,9.4095,9.3403,9.3179,9.5007,9.4532,9.4427,9.3846,9.3529,9.6064,9.6222,9.5286,9.5558,9.4627,9.519,9.642,9.6216,9.5621,9.352,9.1844,9.4083,9.5615,9.6992,9.6106,9.4699,9.3304,9.2963,9.4771,9.5322,9.3879,9.2658,9.0443,8.7864,8.9381,9.1892,9.2906,9.3137,9.2748,9.1682,8.9411,9.0234,9.0922,9.1922,9.2314,9.203,9.018,8.875,9.1063,9.2897,9.3966,9.3517,9.1638,8.8878,8.7933,8.801,8.9222,8.9148
FIELD7,Time since start in ms ,8,107,208,309,408,508,607,708,808,907,1008,1108,1208,1308,1407,1508,1608,1708,1807,1908,2008,2107,2207,2308,2408,2507,2608,2708,2808,2910,3009,3108,3209,3309,3408,3508,3608,3708,3808,3908,4008,4108,4207,4308,4410,4508,4608,4708,4808,4908,5007,5108,5208,5308,5407,5508,5608,5710,5808,5908
FIELD8,YYYY-MO-DD HH-MI-SS_SSS,2019-11-25 12:48:01:089,2019-11-25 12:48:01:188,2019-11-25 12:48:01:289,2019-11-25 12:48:01:390,2019-11-25 12:48:01:489,2019-11-25 12:48:01:589,2019-11-25 12:48:01:688,2019-11-25 12:48:01:789,2019-11-25 12:48:01:889,2019-11-25 12:48:01:988,2019-11-25 12:48:02:089,2019-11-25 12:48:02:189,2019-11-25 12:48:02:289,2019-11-25 12:48:02:389,2019-11-25 12:48:02:488,2019-11-25 12:48:02:589,2019-11-25 12:48:02:689,2019-11-25 12:48:02:789,2019-11-25 12:48:02:888,2019-11-25 12:48:02:989,2019-11-25 12:48:03:089,2019-11-25 12:48:03:188,2019-11-25 12:48:03:288,2019-11-25 12:48:03:389,2019-11-25 12:48:03:489,2019-11-25 12:48:03:588,2019-11-25 12:48:03:689,2019-11-25 12:48:03:789,2019-11-25 12:48:03:889,2019-11-25 12:48:03:991,2019-11-25 12:48:04:090,2019-11-25 12:48:04:189,2019-11-25 12:48:04:290,2019-11-25 12:48:04:390,2019-11-25 12:48:04:489,2019-11-25 12:48:04:589,2019-11-25 12:48:04:689,2019-11-25 12:48:04:789,2019-11-25 12:48:04:889,2019-11-25 12:48:04:989,2019-11-25 12:48:05:089,2019-11-25 12:48:05:189,2019-11-25 12:48:05:288,2019-11-25 12:48:05:389,2019-11-25 12:48:05:491,2019-11-25 12:48:05:589,2019-11-25 12:48:05:689,2019-11-25 12:48:05:789,2019-11-25 12:48:05:889,2019-11-25 12:48:05:989,2019-11-25 12:48:06:088,2019-11-25 12:48:06:189,2019-11-25 12:48:06:289,2019-11-25 12:48:06:389,2019-11-25 12:48:06:488,2019-11-25 12:48:06:589,2019-11-25 12:48:06:689,2019-11-25 12:48:06:791,2019-11-25 12:48:06:889,2019-11-25 12:48:06:989
