sep=,ACCELEROMETER X (m/s²),0.0053,0.1741,0.7726,-0.944,0.9917,0.386,0.6332,0.2573,0.1866,0.7002,-1.5294,1.6076,-0.2892,0.2986,-0.1976,0.4823,0.7583,-2.0836,1.3484,0.0191,0.368,0.0538,1.0312,0.608,0.2417,0.7948,-0.0767,-0.4299,0.1597,0.3459,1.6142,-0.9925,1.3377,0.4518,0.7577,0.3776,0.0322,0.9815,-0.3329,1.3113,-0.0701,0.365,0.4183,-0.042,1.346,0.5063,0.4859,0.7589,0.0849,0.1651,0.3357,0.4596,2.3516,2.9795,1.7543,0.3614,0.1861,0.0651,1.461,0.8193,-2.2333,0.7391,0.2549,-0.0199,0.2495,0.7589,1.5753,-0.2096,0.6954,-1.6509,-0.6651,-0.783
FIELD2,ACCELEROMETER Y (m/s²),3.3372,0.3977,-0.1033,-1.0652,0.6994,0.8083,2.5746,3.8825,2.8769,1.8977,-6.7071,0.284,1.6547,2.7734,3.8406,2.8093,1.8408,-1.769,0.9903,1.2584,3.5682,3.0158,2.6339,1.0531,-6.5036,0.8496,1.3793,2.899,3.3994,2.5842,0.1266,-1.8229,0.6766,2.1341,3.4024,2.4184,0.5755,-0.4235,-5.1999,-2.1886,1.4164,3.5054,3.576,0.7544,0.7167,-7.7085,-0.2822,0.7,1.5044,2.2586,2.3538,1.2512,-0.241,-0.946,0.3181,2.0898,2.8793,1.5906,-0.1105,-0.2314,-3.3049,-0.4786,1.7792,3.8873,2.264,0.9107,-1.3213,-6.2474,-2.5573,-0.1996,-0.1535,-0.1535
FIELD3,ACCELEROMETER Z (m/s²),6.6906,9.9485,10.4166,10.8823,12.3613,11.26,7.0414,6.1005,8.3229,7.5508,19.6786,12.2835,10.504,6.9474,6.5961,7.8596,8.5575,14.0307,11.3809,9.5278,5.3774,8.6048,7.5214,9.2069,19.6786,13.328,10.2131,6.2902,6.9959,8.6431,9.0573,13.386,10.7416,8.618,6.1753,8.4659,8.9729,9.6421,19.6786,10.188,9.3135,6.0819,6.2094,9.5349,10.3717,19.6786,10.9296,10.2586,8.2529,8.8616,9.0034,6.5027,16.7307,8.5761,7.7776,7.6645,6.4201,9.2943,8.6449,8.5563,12.3086,10.4986,9.0621,5.5594,7.5579,8.6694,9.5343,13.8403,11.0223,10.3274,7.9278,9.6158
FIELD4,GRAVITY X (m/s²),0.6505,0.5444,0.5392,0.1371,0.3078,0.1269,0.397,0.4205,0.1434,0.3492,-0.2122,0.4272,-0.3201,0.4011,0.3013,0.3505,0.4037,0.0119,0.6596,-0.2408,0.7476,0.1763,0.3261,0.2871,-0.119,0.1312,-0.3828,0.1618,0.3247,0.3866,1.0631,0.5834,1.2035,0.5182,0.8568,0.6503,0.6636,0.7925,0.2724,0.8126,0.3835,0.4587,0.6409,0.5907,0.6133,0.1139,0.8247,0.6501,0.5988,0.5532,0.5468,0.8044,0.7753,0.9785,1.2477,0.5702,0.9358,0.6589,1.0954,0.883,0.3968,0.7729,0.3918,0.7965,0.7988,0.867,0.9149,0.2843,-0.0399,-0.595,-0.271,-0.5103
FIELD5,GRAVITY Y (m/s²),1.9714,1.3792,0.5389,-0.0758,0.2107,1.0701,2.1254,2.4513,1.8731,0.6817,-0.2947,0.6477,1.4444,2.3017,2.5315,1.5299,0.3582,-0.2311,0.6501,1.6883,2.5464,2.2198,1.524,0.3627,-0.2899,0.2719,1.4779,2.3832,2.3811,1.4435,0.3263,-0.2773,0.5147,1.8074,2.5018,2.3326,1.5298,0.7581,-0.3388,0.2052,1.1796,2.217,2.3499,1.382,0.5898,-0.2851,0.1912,0.8427,1.4213,1.8724,1.6799,1.1483,-0.3784,-0.2096,1.0428,2.0506,2.6173,1.9143,1.2358,0.5237,-0.2418,0.7061,1.6563,2.6988,2.5381,1.2849,0.254,-0.3586,0.0204,-0.1283,0.0221,8.0E-4
FIELD6,GRAVITY Z (m/s²),9.5844,9.6939,9.777,9.8054,9.7996,9.7473,9.5653,9.486,9.625,9.7767,9.7999,9.7759,9.6944,9.5243,9.4695,9.6802,9.7918,9.8039,9.7628,9.6572,9.4407,9.5505,9.682,9.7957,9.8016,9.802,9.6871,9.5113,9.5076,9.6921,9.7434,9.7854,9.7189,9.6247,9.4434,9.503,9.6638,9.7451,9.797,9.7708,9.7279,9.5417,9.4993,9.6908,9.7697,9.8018,9.77,9.7487,9.6846,9.6103,9.6462,9.7059,9.7686,9.7555,9.6709,9.5729,9.4045,9.5954,9.6666,9.7528,9.7956,9.7506,9.6578,9.3943,9.4388,9.6834,9.7606,9.796,9.8065,9.7877,9.8029,9.7934
FIELD7,Time since start in ms ,8,108,208,308,408,508,608,708,808,909,1008,1108,1208,1309,1408,1509,1608,1709,1809,1908,2009,2109,2208,2308,2408,2508,2609,2708,2808,2908,3009,3108,3208,3308,3408,3511,3608,3708,3808,3908,4008,4108,4208,4308,4408,4508,4609,4708,4808,4909,5008,5108,5209,5308,5408,5509,5609,5708,5809,5908,6008,6108,6208,6309,6410,6509,6608,6708,6809,6912,7008,7108
FIELD8,YYYY-MO-DD HH-MI-SS_SSS,2019-11-24 16:27:01:994,2019-11-24 16:27:02:094,2019-11-24 16:27:02:194,2019-11-24 16:27:02:294,2019-11-24 16:27:02:394,2019-11-24 16:27:02:494,2019-11-24 16:27:02:594,2019-11-24 16:27:02:694,2019-11-24 16:27:02:794,2019-11-24 16:27:02:895,2019-11-24 16:27:02:994,2019-11-24 16:27:03:094,2019-11-24 16:27:03:194,2019-11-24 16:27:03:295,2019-11-24 16:27:03:394,2019-11-24 16:27:03:495,2019-11-24 16:27:03:594,2019-11-24 16:27:03:695,2019-11-24 16:27:03:795,2019-11-24 16:27:03:894,2019-11-24 16:27:03:995,2019-11-24 16:27:04:095,2019-11-24 16:27:04:194,2019-11-24 16:27:04:294,2019-11-24 16:27:04:394,2019-11-24 16:27:04:494,2019-11-24 16:27:04:595,2019-11-24 16:27:04:694,2019-11-24 16:27:04:794,2019-11-24 16:27:04:894,2019-11-24 16:27:04:995,2019-11-24 16:27:05:094,2019-11-24 16:27:05:194,2019-11-24 16:27:05:294,2019-11-24 16:27:05:394,2019-11-24 16:27:05:497,2019-11-24 16:27:05:594,2019-11-24 16:27:05:694,2019-11-24 16:27:05:794,2019-11-24 16:27:05:894,2019-11-24 16:27:05:994,2019-11-24 16:27:06:094,2019-11-24 16:27:06:194,2019-11-24 16:27:06:294,2019-11-24 16:27:06:394,2019-11-24 16:27:06:494,2019-11-24 16:27:06:595,2019-11-24 16:27:06:694,2019-11-24 16:27:06:794,2019-11-24 16:27:06:895,2019-11-24 16:27:06:994,2019-11-24 16:27:07:094,2019-11-24 16:27:07:195,2019-11-24 16:27:07:294,2019-11-24 16:27:07:394,2019-11-24 16:27:07:495,2019-11-24 16:27:07:595,2019-11-24 16:27:07:694,2019-11-24 16:27:07:795,2019-11-24 16:27:07:894,2019-11-24 16:27:07:994,2019-11-24 16:27:08:094,2019-11-24 16:27:08:194,2019-11-24 16:27:08:295,2019-11-24 16:27:08:396,2019-11-24 16:27:08:495,2019-11-24 16:27:08:594,2019-11-24 16:27:08:694,2019-11-24 16:27:08:795,2019-11-24 16:27:08:898,2019-11-24 16:27:08:994,2019-11-24 16:27:09:094
