sep=,ACCELEROMETER X (m/s²),-0.5,-0.294,-0.245,3.491,5.129,4.099,2.294,1.167,0.706,-0.833,0.892,0.647,1.412,0.568,0.755,1.951,0.49,-0.696,-0.902,-1.608,-0.823,0.411,0.46,0.823,0.254,0.451,1.637,-0.078,-1.049,-2.294,-1.784,-1.441,-1.696,-0.294,-0.598,-0.549,-0.539,0.117,0.225,-0.372,-0.813,-1.343,-1.627,-1.833,-0.304,-0.058,-0.049,0.147,0.333,0.147,-0.343,-1.667,-1.068,-0.539,1.049,3.02,1.902,3.648,4.079,3.893,3.53,0.941,-0.774,-1.019,-1.392,-2.579,0.049,-1.167,-0.902,-1.981,-0.225,0.961,0.254,-1.167,-1.824,-1.314,-1.667,0.147,-0.882,-0.313,-0.519,-0.019,0.558,0.47,-0.696,-1.108,-0.872,-1.019,-1.637,-0.666,-0.588,-0.225,0.215,-0.137,-0.225,-0.156,-0.892,-0.676,-0.117,-1.127,-0.313,-0.921,-0.48,-1.726,-0.343,-0.48,0.196,0.068,-0.892,-0.558,-0.039,-0.382,-0.313,0.098,0.421,0.117,-0.039,0.529,0.049,0.049,0.421,-0.951,-0.392,-0.039,0.049,1.294,0.627,1.176,0.519,0.97,-0.039,0.294,-0.235,-0.235,-0.411,0.755,-0.392,0.029,-0.156,0.813,0.774,1.245,-0.156,0.49,0.676,-0.372,-0.774,-0.961,-0.637,-0.078,0.098,0.431,0.392,0.725,1.137,-0.029,0.451,-0.686,-0.637,-1.225,-0.107,-0.039,0.813,0.284,0.117,0.588,0.5,0.058,0.117,-0.107,-1.147,0.245,-0.186,0.519,0.931
FIELD2,ACCELEROMETER Y (m/s²),5.089,4.913,4.06,2.51,0.598,1.627,2.451,3.991,4.256,3.746,3.157,3.177,3.206,3.55,4.079,3.942,2.255,2.657,2.942,2.726,4.069,1.372,3.432,2.559,3.403,3.893,2.834,2.363,2.157,3.461,4.246,5.03,3.746,4.207,3.51,4.422,5.207,4.874,3.442,2.49,3.304,4.442,4.903,4.167,3.736,3.795,4.315,5.04,4.187,2.745,2.137,3.471,3.844,2.844,2.49,2.245,1.902,1.029,0.46,1.539,1.578,1.627,2.942,3.177,4.207,3.599,3.216,2.912,3.667,4.315,3.089,3.697,2.677,2.814,3.452,2.971,4.442,2.559,2.392,2.549,2.667,3.471,2.932,2.069,2.0,3.373,2.922,3.618,2.128,3.363,4.02,4.109,4.981,3.638,2.942,2.392,3.0,3.295,3.834,2.785,3.648,3.314,4.138,3.501,3.138,2.481,3.295,2.893,3.559,3.491,4.334,2.942,3.412,3.912,4.932,4.658,4.315,3.157,2.853,3.461,3.991,3.775,4.413,2.657,3.363,3.942,3.952,4.589,3.55,2.902,2.598,3.579,3.422,4.118,1.892,3.295,3.403,4.187,4.118,4.246,3.089,3.285,2.853,3.461,3.667,4.138,1.814,2.628,3.275,3.883,4.109,4.05,3.275,2.461,3.108,2.971,3.559,4.128,2.039,2.844,3.51,4.334,4.766,4.619,3.344,2.245,2.51,2.873,3.157,3.922,2.834,2.883,2.285,2.971,3.216
FIELD3,ACCELEROMETER Z (m/s²),7.355,7.884,8.669,9.669,11.199,11.552,9.973,7.875,9.179,9.542,9.914,7.757,7.286,8.571,11.758,11.611,8.914,8.963,7.276,9.718,8.649,11.042,7.502,7.806,8.561,11.356,11.621,9.149,7.963,8.277,9.12,8.983,11.474,7.531,7.708,8.139,9.002,9.934,10.316,7.257,7.845,7.61,9.12,11.062,9.679,7.355,7.973,9.355,9.895,7.61,9.453,9.826,8.335,9.149,11.935,7.59,6.864,10.091,10.777,11.287,8.532,9.571,7.374,8.581,8.296,9.375,8.483,8.384,6.531,8.953,9.797,8.571,8.198,8.639,7.198,9.816,8.796,9.787,8.855,7.767,9.63,9.856,9.375,10.552,9.767,7.041,9.571,9.198,11.062,8.551,8.463,9.316,9.159,9.434,9.355,8.384,8.845,8.424,9.355,9.757,9.179,7.384,8.669,10.679,10.866,11.385,7.178,8.512,7.884,10.571,9.728,10.022,8.296,6.511,8.08,9.395,10.944,8.571,9.257,8.179,7.512,11.327,9.198,9.993,8.973,7.561,8.532,10.464,10.62,7.374,7.669,7.727,9.022,9.807,10.62,8.983,6.649,8.169,9.208,9.561,10.277,8.777,7.825,7.806,8.63,10.179,10.415,9.865,6.433,7.904,9.11,10.248,9.963,8.777,7.404,9.071,9.385,9.787,11.287,10.62,7.355,7.786,8.188,11.15,10.012,9.277,8.228,8.306,8.767,8.512,11.297,9.061,11.062,8.718,6.884
FIELD4,GRAVITY X (m/s²),-0.5345,-0.5779,-0.287,0.633,2.7829,3.2495,3.1591,2.3631,1.7089,0.8829,0.3938,0.6027,0.8437,1.0633,0.5776,0.5566,1.1348,0.4019,-0.3962,-0.9684,-1.3039,-1.2225,-0.0275,0.4235,0.5941,0.3053,0.5495,0.914,0.1221,-1.0097,-1.3731,-1.4865,-1.3916,-1.0035,-0.7461,-0.5408,-0.477,-0.2589,0.1984,-0.0841,-0.6153,-1.2031,-1.4168,-1.5296,-1.1534,-0.4321,-0.1502,0.1781,0.2227,0.003,-0.1568,-0.7308,-1.1366,-0.7814,-0.1915,0.7165,1.8857,2.5998,3.0215,3.5649,3.1819,2.8979,1.6355,-0.1167,-0.8942,-1.0726,-1.5697,-1.0591,-1.2563,-1.1327,-0.7488,-0.4336,-0.0308,-0.7353,-1.2405,-1.4796,-1.1735,-1.5706,-0.8284,-0.603,-0.3983,-0.214,-0.3343,0.1392,0.0144,-0.7688,-1.1818,-0.8975,-0.9813,-0.3202,-0.5602,-0.1799,-0.1131,0.0841,0.0787,0.1655,0.006,-0.4411,-0.2807,-0.4971,-0.5174,-0.7093,-0.6871,-0.8422,-0.7305,-0.507,-0.1185,0.627,0.1945,-0.2819,-0.3696,-0.9655,-0.6587,-0.4292,-0.1152,0.0479,0.0982,0.2894,0.4268,0.2463,0.0117,0.12,0.0724,-0.208,-0.1688,0.0622,0.5186,0.3693,0.3819,0.2188,-0.0377,-0.1529,-0.0952,-0.2795,-0.5471,-0.0781,0.1945,0.0365,-0.1448,0.1359,0.2511,0.6042,0.2693,0.1152,0.1083,0.0467,-0.3867,-0.2993,-0.5866,-0.3211,-0.073,0.3433,0.3639,0.4094,0.495,0.5761,0.4989,0.0673,-0.6108,-0.4205,-0.6249,-0.0248,0.3977,0.7383,0.375,0.4791,0.51,0.2179,0.144,0.067,0.0063,-0.2017,-0.1855,-0.0329,0.3947
FIELD5,GRAVITY Y (m/s²),6.1647,5.8191,5.2017,3.8801,2.1991,0.8987,1.3823,2.7398,3.8732,3.9453,3.8816,3.7325,3.3309,3.749,3.7421,3.4249,2.8015,2.5929,3.0894,3.0637,2.7437,3.0765,2.7087,3.0215,3.2537,3.5805,3.2103,2.7261,2.6977,2.8838,3.4817,3.9492,4.115,3.8071,4.2153,4.5723,4.6079,4.4397,3.7664,3.2989,3.4213,4.024,4.396,4.581,3.8798,3.9764,4.3215,4.3012,4.3487,4.0022,3.4749,2.9457,3.0846,3.4039,3.3974,2.4151,2.1416,2.1006,1.3773,1.4736,1.2902,1.3901,2.0018,3.477,3.6972,4.0635,3.1741,3.02,3.4713,3.9818,3.7146,3.4114,3.3055,3.0538,3.318,3.4381,3.4276,2.9245,2.6734,2.8159,2.9691,2.9472,2.9371,2.683,2.2281,2.8323,3.2055,3.0771,3.0236,3.0463,3.7233,4.159,4.2826,3.9914,3.5216,3.1511,2.9673,3.2319,3.4569,3.6897,3.1825,3.3486,4.0231,3.7714,3.4629,2.9386,2.7674,3.0439,3.424,3.4692,3.231,3.4952,3.3881,3.8071,4.5241,4.7531,4.1853,3.6332,3.4384,3.2785,3.7999,3.9696,3.9639,3.6514,3.1744,3.5913,4.0812,4.2422,3.989,3.2531,3.0029,3.3764,3.6493,3.4291,3.0702,2.6833,2.9134,3.9549,4.2114,4.0809,3.7275,3.3635,2.8967,3.3794,3.6287,3.6933,3.2193,2.964,2.9748,3.808,4.0596,3.8005,3.509,3.0328,2.9323,3.3198,3.2441,3.4871,2.8278,2.6324,3.0316,3.9058,4.6058,4.5929,3.7493,3.2049,2.7482,2.8643,3.0747,3.3294,3.5617,2.7865,2.7901,2.6109,2.9802
FIELD6,GRAVITY Z (m/s²),7.6072,7.8715,8.3081,8.9833,9.1422,9.2083,9.1796,9.1144,8.8453,8.9336,8.9962,9.0479,9.1844,8.9989,9.0455,9.1718,9.3284,9.4487,9.2984,9.2646,9.3236,9.2305,9.4244,9.3197,9.2317,9.1239,9.249,9.375,9.4271,9.3179,9.0638,8.8522,8.7912,8.9806,8.822,8.658,8.6427,8.7394,9.0518,9.2341,9.1694,8.8609,8.6502,8.5341,8.9315,8.9531,8.801,8.8106,8.7861,8.9519,9.1682,9.3245,9.2389,9.1629,9.197,9.4771,9.3816,9.2188,9.2266,9.0156,9.1853,9.2643,9.4591,9.1685,9.0387,8.86,9.1446,9.2694,9.0847,8.889,9.0446,9.1835,9.232,9.2891,9.1437,9.0638,9.1126,9.2272,9.3984,9.3735,9.3373,9.3502,9.3502,9.431,9.5498,9.3568,9.1919,9.267,9.2769,9.3152,9.0542,8.8782,8.8208,8.9567,9.1518,9.2847,9.3463,9.2478,9.1721,9.0716,9.261,9.1892,8.9163,9.0123,9.1455,9.3418,9.4068,9.3008,9.1868,9.1679,9.2514,9.1111,9.1784,9.027,8.6993,8.5766,8.8678,9.1039,9.1736,9.2383,9.0402,8.9659,8.9686,9.0988,9.2769,9.1245,8.901,8.8331,8.9501,9.2481,9.3352,9.2054,9.1015,9.1829,9.2969,9.4316,9.3613,8.9731,8.8543,8.9154,9.0665,9.191,9.3646,9.2048,9.1093,9.0835,9.2544,9.343,9.3254,9.0309,8.9261,9.0333,9.1497,9.3164,9.3439,9.2089,9.241,9.1647,9.3694,9.4373,9.305,8.9947,8.6481,8.6328,9.0533,9.2553,9.3999,9.3765,9.311,9.223,9.1362,9.4002,9.3993,9.4523,9.3337
FIELD7,Time since start in ms ,8,108,208,308,407,507,607,707,808,908,1007,1107,1207,1307,1407,1508,1608,1707,1807,1908,2008,2108,2208,2307,2407,2507,2609,2707,2808,2907,3009,3108,3208,3309,3407,3507,3607,3709,3810,3908,4008,4108,4208,4308,4407,4508,4607,4707,4808,4908,5008,5107,5207,5307,5407,5507,5608,5709,5807,5907,6008,6108,6208,6307,6407,6509,6609,6708,6808,6907,7007,7107,7208,7307,7411,7509,7608,7708,7807,7908,8008,8109,8208,8309,8409,8509,8608,8708,8807,8908,9007,9108,9208,9308,9407,9509,9608,9708,9808,9909,10007,10108,10208,10308,10408,10508,10608,10708,10807,10908,11007,11110,11208,11308,11409,11508,11608,11707,11807,11907,12009,12108,12208,12307,12407,12508,12607,12707,12808,12908,13007,13107,13207,13311,13407,13508,13608,13708,13807,13910,14009,14108,14208,14308,14407,14507,14607,14708,14808,14907,15007,15108,15208,15308,15407,15508,15608,15709,15807,15907,16007,16108,16208,16309,16407,16507,16607,16708,16807,16908,17008,17107,17207,17307,17408
FIELD8,YYYY-MO-DD HH-MI-SS_SSS,2019-11-25 12:10:10:064,2019-11-25 12:10:10:164,2019-11-25 12:10:10:264,2019-11-25 12:10:10:364,2019-11-25 12:10:10:463,2019-11-25 12:10:10:563,2019-11-25 12:10:10:663,2019-11-25 12:10:10:763,2019-11-25 12:10:10:864,2019-11-25 12:10:10:964,2019-11-25 12:10:11:063,2019-11-25 12:10:11:163,2019-11-25 12:10:11:263,2019-11-25 12:10:11:363,2019-11-25 12:10:11:463,2019-11-25 12:10:11:564,2019-11-25 12:10:11:664,2019-11-25 12:10:11:763,2019-11-25 12:10:11:863,2019-11-25 12:10:11:964,2019-11-25 12:10:12:064,2019-11-25 12:10:12:164,2019-11-25 12:10:12:264,2019-11-25 12:10:12:363,2019-11-25 12:10:12:463,2019-11-25 12:10:12:563,2019-11-25 12:10:12:665,2019-11-25 12:10:12:763,2019-11-25 12:10:12:864,2019-11-25 12:10:12:963,2019-11-25 12:10:13:065,2019-11-25 12:10:13:164,2019-11-25 12:10:13:264,2019-11-25 12:10:13:365,2019-11-25 12:10:13:463,2019-11-25 12:10:13:563,2019-11-25 12:10:13:663,2019-11-25 12:10:13:765,2019-11-25 12:10:13:866,2019-11-25 12:10:13:964,2019-11-25 12:10:14:064,2019-11-25 12:10:14:164,2019-11-25 12:10:14:264,2019-11-25 12:10:14:364,2019-11-25 12:10:14:463,2019-11-25 12:10:14:564,2019-11-25 12:10:14:663,2019-11-25 12:10:14:763,2019-11-25 12:10:14:864,2019-11-25 12:10:14:964,2019-11-25 12:10:15:064,2019-11-25 12:10:15:163,2019-11-25 12:10:15:263,2019-11-25 12:10:15:363,2019-11-25 12:10:15:463,2019-11-25 12:10:15:563,2019-11-25 12:10:15:664,2019-11-25 12:10:15:765,2019-11-25 12:10:15:863,2019-11-25 12:10:15:963,2019-11-25 12:10:16:064,2019-11-25 12:10:16:164,2019-11-25 12:10:16:264,2019-11-25 12:10:16:363,2019-11-25 12:10:16:463,2019-11-25 12:10:16:565,2019-11-25 12:10:16:665,2019-11-25 12:10:16:764,2019-11-25 12:10:16:864,2019-11-25 12:10:16:963,2019-11-25 12:10:17:063,2019-11-25 12:10:17:163,2019-11-25 12:10:17:264,2019-11-25 12:10:17:363,2019-11-25 12:10:17:467,2019-11-25 12:10:17:565,2019-11-25 12:10:17:664,2019-11-25 12:10:17:764,2019-11-25 12:10:17:863,2019-11-25 12:10:17:964,2019-11-25 12:10:18:064,2019-11-25 12:10:18:165,2019-11-25 12:10:18:264,2019-11-25 12:10:18:365,2019-11-25 12:10:18:465,2019-11-25 12:10:18:565,2019-11-25 12:10:18:664,2019-11-25 12:10:18:764,2019-11-25 12:10:18:863,2019-11-25 12:10:18:964,2019-11-25 12:10:19:063,2019-11-25 12:10:19:164,2019-11-25 12:10:19:264,2019-11-25 12:10:19:364,2019-11-25 12:10:19:463,2019-11-25 12:10:19:565,2019-11-25 12:10:19:664,2019-11-25 12:10:19:764,2019-11-25 12:10:19:864,2019-11-25 12:10:19:965,2019-11-25 12:10:20:063,2019-11-25 12:10:20:164,2019-11-25 12:10:20:264,2019-11-25 12:10:20:364,2019-11-25 12:10:20:464,2019-11-25 12:10:20:564,2019-11-25 12:10:20:664,2019-11-25 12:10:20:764,2019-11-25 12:10:20:863,2019-11-25 12:10:20:964,2019-11-25 12:10:21:063,2019-11-25 12:10:21:166,2019-11-25 12:10:21:264,2019-11-25 12:10:21:364,2019-11-25 12:10:21:465,2019-11-25 12:10:21:564,2019-11-25 12:10:21:664,2019-11-25 12:10:21:763,2019-11-25 12:10:21:863,2019-11-25 12:10:21:963,2019-11-25 12:10:22:065,2019-11-25 12:10:22:164,2019-11-25 12:10:22:264,2019-11-25 12:10:22:363,2019-11-25 12:10:22:463,2019-11-25 12:10:22:564,2019-11-25 12:10:22:663,2019-11-25 12:10:22:763,2019-11-25 12:10:22:864,2019-11-25 12:10:22:964,2019-11-25 12:10:23:063,2019-11-25 12:10:23:163,2019-11-25 12:10:23:263,2019-11-25 12:10:23:367,2019-11-25 12:10:23:463,2019-11-25 12:10:23:564,2019-11-25 12:10:23:664,2019-11-25 12:10:23:764,2019-11-25 12:10:23:863,2019-11-25 12:10:23:966,2019-11-25 12:10:24:065,2019-11-25 12:10:24:164,2019-11-25 12:10:24:264,2019-11-25 12:10:24:364,2019-11-25 12:10:24:463,2019-11-25 12:10:24:563,2019-11-25 12:10:24:663,2019-11-25 12:10:24:764,2019-11-25 12:10:24:864,2019-11-25 12:10:24:963,2019-11-25 12:10:25:063,2019-11-25 12:10:25:164,2019-11-25 12:10:25:264,2019-11-25 12:10:25:364,2019-11-25 12:10:25:463,2019-11-25 12:10:25:564,2019-11-25 12:10:25:664,2019-11-25 12:10:25:765,2019-11-25 12:10:25:863,2019-11-25 12:10:25:963,2019-11-25 12:10:26:063,2019-11-25 12:10:26:164,2019-11-25 12:10:26:264,2019-11-25 12:10:26:365,2019-11-25 12:10:26:463,2019-11-25 12:10:26:563,2019-11-25 12:10:26:663,2019-11-25 12:10:26:764,2019-11-25 12:10:26:863,2019-11-25 12:10:26:964,2019-11-25 12:10:27:064,2019-11-25 12:10:27:163,2019-11-25 12:10:27:263,2019-11-25 12:10:27:363,2019-11-25 12:10:27:464
