sep=,ACCELEROMETER X (m/s²),-1.48,-0.921,-1.0,0.813,0.48,0.608,0.529,-0.588,-2.324,-0.912,-0.715,-0.274,-1.569,-1.902,-1.059,-0.49,0.402,1.549,1.01,1.353,-0.284,-2.363,-2.039,-1.422,-1.284,-0.598,-0.558,-0.137,0.147,0.382,0.853,0.205,-0.313,-0.843,-1.382,-2.167,-0.715,-2.5,-0.47,-0.549,0.235,0.588,0.254,0.627,0.657,-0.039,-1.431,-2.147,-1.343,-1.304,-1.549,-1.0,-1.068,-4.001
FIELD2,ACCELEROMETER Y (m/s²),5.217,4.805,2.863,2.363,2.324,2.942,4.187,3.981,2.334,2.451,2.441,3.304,4.383,4.403,2.471,1.961,2.422,3.02,3.206,2.255,3.373,3.403,3.412,4.05,3.501,3.108,2.598,1.627,2.373,3.216,4.089,3.353,1.696,3.265,3.403,3.638,4.03,2.01,2.226,2.559,3.393,4.324,4.167,3.334,2.863,3.03,4.432,5.403,4.746,3.55,3.079,4.089,4.805,4.167
FIELD3,ACCELEROMETER Z (m/s²),8.424,10.228,10.336,8.924,7.845,6.747,11.278,11.032,10.62,9.404,7.6,7.914,10.189,12.935,9.63,7.237,7.276,7.178,8.561,8.228,10.012,9.228,8.561,9.601,10.974,12.66,9.807,7.61,6.227,8.806,9.846,10.65,9.198,8.993,8.159,9.807,10.944,12.552,9.395,7.894,7.845,8.502,9.983,10.248,8.463,6.168,7.757,9.14,10.267,9.699,8.718,7.571,9.385,9.875
FIELD4,GRAVITY X (m/s²),-0.9676,-1.0935,-0.7617,-0.5028,0.0751,0.2846,0.6943,0.053,-0.8134,-1.18,-0.7545,-0.4265,-0.627,-1.2007,-1.2064,-0.9544,-0.0156,0.7338,1.2608,1.4509,0.4432,-0.4438,-1.7714,-1.7882,-1.4982,-1.019,-0.5656,-0.3612,0.1263,0.3669,0.3091,0.469,0.0784,-0.278,-0.9972,-1.4069,-1.5089,-1.2848,-1.2171,-0.826,-0.431,-0.0242,0.0515,0.0521,0.3106,0.5165,-0.1062,-1.3096,-1.7175,-1.5754,-1.1953,-1.0451,-0.9891,-1.9525
FIELD5,GRAVITY Y (m/s²),5.123,4.5552,3.9226,3.1519,2.7372,2.9751,3.5404,3.2899,2.9311,2.5561,2.8826,3.3623,3.702,3.4641,2.8141,2.5408,2.8907,3.321,3.5823,3.1564,2.6258,2.8186,3.4024,3.6781,3.4853,2.9341,2.5193,2.4247,2.7045,3.3046,3.412,3.3677,2.6602,2.8973,3.5578,3.7741,3.5018,3.1418,2.4412,2.6387,3.2648,3.6508,3.8065,3.5464,3.2513,3.3549,3.9929,4.6615,4.2338,3.5096,3.6044,4.1141,4.3107,4.6283
FIELD6,GRAVITY Z (m/s²),8.3057,8.6146,8.9552,9.2724,9.4163,9.34,9.1189,9.2374,9.3233,9.3936,9.343,9.2018,9.0587,9.0955,9.3155,9.4235,9.3706,9.1979,9.0408,9.1703,9.4373,9.3822,9.0252,8.913,9.0431,9.3017,9.4606,9.495,9.425,9.2251,9.1886,9.1982,9.4385,9.3643,9.0835,8.9405,9.0342,9.1997,9.4196,9.4086,9.2371,9.1015,9.0375,9.1422,9.2461,9.2,8.9558,8.5272,8.6768,9.0201,9.0408,8.8399,8.7523,8.4219
FIELD7,Time since start in ms ,7,108,208,308,407,508,608,707,809,908,1007,1107,1208,1308,1407,1507,1611,1708,1811,1908,2008,2108,2207,2307,2408,2508,2609,2708,2808,2910,3009,3108,3207,3307,3407,3509,3608,3708,3807,3908,4009,4107,4208,4309,4408,4508,4609,4707,4808,4907,5008,5108,5208,5307
FIELD8,YYYY-MO-DD HH-MI-SS_SSS,2019-11-25 12:07:12:159,2019-11-25 12:07:12:260,2019-11-25 12:07:12:360,2019-11-25 12:07:12:460,2019-11-25 12:07:12:559,2019-11-25 12:07:12:660,2019-11-25 12:07:12:760,2019-11-25 12:07:12:859,2019-11-25 12:07:12:961,2019-11-25 12:07:13:060,2019-11-25 12:07:13:159,2019-11-25 12:07:13:259,2019-11-25 12:07:13:360,2019-11-25 12:07:13:460,2019-11-25 12:07:13:559,2019-11-25 12:07:13:659,2019-11-25 12:07:13:763,2019-11-25 12:07:13:860,2019-11-25 12:07:13:963,2019-11-25 12:07:14:060,2019-11-25 12:07:14:160,2019-11-25 12:07:14:260,2019-11-25 12:07:14:359,2019-11-25 12:07:14:459,2019-11-25 12:07:14:560,2019-11-25 12:07:14:660,2019-11-25 12:07:14:761,2019-11-25 12:07:14:860,2019-11-25 12:07:14:960,2019-11-25 12:07:15:062,2019-11-25 12:07:15:161,2019-11-25 12:07:15:260,2019-11-25 12:07:15:359,2019-11-25 12:07:15:459,2019-11-25 12:07:15:559,2019-11-25 12:07:15:661,2019-11-25 12:07:15:760,2019-11-25 12:07:15:860,2019-11-25 12:07:15:959,2019-11-25 12:07:16:060,2019-11-25 12:07:16:161,2019-11-25 12:07:16:259,2019-11-25 12:07:16:360,2019-11-25 12:07:16:461,2019-11-25 12:07:16:560,2019-11-25 12:07:16:660,2019-11-25 12:07:16:761,2019-11-25 12:07:16:859,2019-11-25 12:07:16:960,2019-11-25 12:07:17:059,2019-11-25 12:07:17:160,2019-11-25 12:07:17:260,2019-11-25 12:07:17:360,2019-11-25 12:07:17:459
