sep=,ACCELEROMETER X (m/s²),-1.372,-1.5,-0.49,-0.735,-0.921,-1.961,-2.039,-0.107,-0.686,-1.147,-0.441,-1.5,-2.392,-1.559,-1.647,-0.343,-0.539,-0.088,-1.627,-0.294,-0.411,-1.245,-0.48,-0.882,-1.961,-1.343,-2.334,-0.764,0.48,0.372,-0.156,0.323,0.284,-0.451,-0.578,-0.5,-1.647,-1.088,-1.51,-0.46,-0.147,-0.529,-1.51,-0.029,-0.696,-1.422,-0.853,-0.078,-1.314,-0.853,-0.519,-0.421,0.353,0.529,1.235,-0.068,0.509,0.254,0.166,0.205,0.509,-0.362,0.451,0.0
FIELD2,ACCELEROMETER Y (m/s²),6.433,6.492,6.443,7.227,7.551,7.551,5.707,5.982,6.031,6.403,6.884,6.874,4.932,5.923,6.06,6.148,6.786,8.051,6.237,5.138,5.56,5.825,6.502,7.443,5.335,4.717,6.639,6.453,7.208,7.286,6.943,3.716,4.599,5.835,6.374,7.07,5.619,4.197,5.599,6.08,6.884,7.247,6.786,4.854,5.589,5.737,5.344,6.296,6.109,4.138,5.011,5.011,5.56,5.962,6.727,4.413,4.305,4.167,4.903,5.727,6.129,4.432,4.462,4.275
FIELD3,ACCELEROMETER Z (m/s²),6.962,6.855,6.325,7.521,8.63,10.209,4.501,4.746,7.414,6.766,7.463,7.639,8.394,5.472,8.512,6.148,7.472,9.002,9.395,4.913,7.561,5.854,6.07,9.11,8.61,5.285,8.326,5.305,8.522,9.865,10.434,6.09,6.737,7.492,7.423,7.914,10.169,6.619,7.139,6.364,8.022,9.601,10.042,5.384,6.894,7.237,6.688,8.257,9.512,6.688,7.061,7.914,8.208,8.963,9.856,6.806,7.669,8.149,7.217,7.786,8.845,10.052,6.874,9.934
FIELD4,GRAVITY X (m/s²),-0.7593,-1.3773,-1.2477,-0.8197,-0.7596,-0.8395,-1.511,-1.4787,-0.8113,-0.9469,-1.01,-0.823,-1.4766,-2.012,-1.7977,-1.3413,-0.794,-0.416,-0.5222,-0.9864,-0.3283,-0.6449,-0.8544,-0.6099,-0.8697,-1.5024,-1.9001,-1.6933,-0.6871,0.1041,0.2361,-0.2586,0.2687,0.1475,-0.3094,-0.5055,-0.6641,-1.1845,-1.1076,-1.3183,-0.6958,-0.3579,-0.5842,-0.9676,-0.5231,-0.8562,-1.084,-0.5495,-0.4824,-1.3246,-1.1327,-0.8586,-0.1451,0.2008,0.5492,0.2221,0.3172,0.2882,0.164,0.1987,0.2777,0.2002,0.1248,0.1095
FIELD5,GRAVITY Y (m/s²),6.2279,6.2853,6.6445,6.8752,6.4808,6.3512,6.2895,7.202,6.8516,6.6921,6.707,6.6882,6.0612,6.1291,6.297,6.2375,6.5643,6.5637,6.1309,6.0175,6.4586,6.2479,6.701,6.8857,6.4251,5.8717,6.6238,6.426,6.9617,6.4341,5.9274,5.3145,5.2935,5.6368,5.9753,6.5714,6.3985,5.2328,5.5587,6.1537,6.3395,6.2399,6.2114,5.9466,6.159,5.9642,6.0977,6.063,5.8394,4.9868,5.2564,5.0784,5.5776,5.5066,5.4402,4.8348,4.9317,4.7453,4.9377,5.4225,5.814,5.184,4.6869,4.7124
FIELD6,GRAVITY Z (m/s²),7.5366,7.3995,7.1033,6.9437,7.3199,7.4244,7.3696,6.4885,6.9683,7.1048,7.0817,7.1242,7.5659,7.3858,7.2987,7.4465,7.2412,7.2738,7.6357,7.6797,7.3717,7.5306,7.108,6.9551,7.3573,7.7087,6.9767,7.211,6.8713,7.3995,7.8083,8.2369,8.2504,8.0226,7.7694,7.2607,7.4016,8.2082,8.0023,7.5201,7.4489,7.5561,7.565,7.7371,7.6123,7.7365,7.6027,7.6877,7.8628,8.3387,8.2004,8.3443,8.0645,8.1115,8.1399,8.5281,8.4697,8.5769,8.4706,8.1681,7.8915,8.321,8.6128,8.599
FIELD7,Time since start in ms ,9,109,210,310,409,509,609,710,809,909,1009,1109,1210,1310,1410,1510,1609,1709,1810,1909,2009,2109,2209,2309,2410,2510,2610,2709,2810,2910,3010,3109,3209,3310,3409,3509,3609,3710,3815,3910,4009,4110,4209,4309,4409,4509,4609,4709,4810,4909,5009,5109,5209,5309,5409,5509,5610,5710,5809,5909,6010,6109,6209,6309
FIELD8,YYYY-MO-DD HH-MI-SS_SSS,2019-11-25 12:01:26:505,2019-11-25 12:01:26:605,2019-11-25 12:01:26:706,2019-11-25 12:01:26:806,2019-11-25 12:01:26:905,2019-11-25 12:01:27:005,2019-11-25 12:01:27:105,2019-11-25 12:01:27:206,2019-11-25 12:01:27:305,2019-11-25 12:01:27:405,2019-11-25 12:01:27:505,2019-11-25 12:01:27:605,2019-11-25 12:01:27:706,2019-11-25 12:01:27:806,2019-11-25 12:01:27:906,2019-11-25 12:01:28:006,2019-11-25 12:01:28:105,2019-11-25 12:01:28:205,2019-11-25 12:01:28:306,2019-11-25 12:01:28:405,2019-11-25 12:01:28:505,2019-11-25 12:01:28:605,2019-11-25 12:01:28:705,2019-11-25 12:01:28:805,2019-11-25 12:01:28:906,2019-11-25 12:01:29:006,2019-11-25 12:01:29:106,2019-11-25 12:01:29:205,2019-11-25 12:01:29:306,2019-11-25 12:01:29:406,2019-11-25 12:01:29:506,2019-11-25 12:01:29:605,2019-11-25 12:01:29:705,2019-11-25 12:01:29:806,2019-11-25 12:01:29:905,2019-11-25 12:01:30:005,2019-11-25 12:01:30:105,2019-11-25 12:01:30:206,2019-11-25 12:01:30:311,2019-11-25 12:01:30:406,2019-11-25 12:01:30:505,2019-11-25 12:01:30:606,2019-11-25 12:01:30:705,2019-11-25 12:01:30:805,2019-11-25 12:01:30:905,2019-11-25 12:01:31:005,2019-11-25 12:01:31:105,2019-11-25 12:01:31:205,2019-11-25 12:01:31:306,2019-11-25 12:01:31:405,2019-11-25 12:01:31:505,2019-11-25 12:01:31:605,2019-11-25 12:01:31:705,2019-11-25 12:01:31:805,2019-11-25 12:01:31:905,2019-11-25 12:01:32:005,2019-11-25 12:01:32:106,2019-11-25 12:01:32:206,2019-11-25 12:01:32:305,2019-11-25 12:01:32:405,2019-11-25 12:01:32:506,2019-11-25 12:01:32:605,2019-11-25 12:01:32:705,2019-11-25 12:01:32:805
